label
0
11
8
10
7
9
12
8
10
10
10
10
7
5
7
9
7
9
5
6
7
10
10
7
10
2
8
10
10
2
3
10
8
12
11
5
12
10
10
7
7
7
2
11
5
10
5
11
10
0
3
11
8
7
0
1
10
7
10
2
2
5
11
10
3
2
0
10
3
7
10
6
5
11
7
7
9
10
12
8
10
8
10
4
3
7
7
9
10
10
8
10
7
7
3
7
12
7
7
3
7
8
10
7
5
7
7
7
7
7
8
8
10
7
10
0
9
8
8
12
9
7
0
12
9
6
10
5
10
12
5
7
7
10
0
3
10
1
2
8
4
7
3
0
10
8
3
12
8
6
2
5
5
12
10
10
2
2
8
2
7
3
10
7
12
6
0
7
8
1
7
7
7
7
8
8
10
2
5
10
5
11
8
10
7
1
7
7
9
3
3
12
3
8
10
12
7
10
7
11
7
7
10
9
4
8
7
10
3
7
8
5
5
0
7
12
5
8
8
7
10
10
8
8
7
8
7
8
7
3
7
7
0
8
10
0
10
8
8
7
10
10
3
5
7
10
11
7
3
4
10
8
7
7
6
7
2
10
8
7
0
5
10
7
5
7
2
7
10
7
8
7
11
8
12
5
10
7
7
10
9
2
2
8
10
10
12
6
7
10
10
2
8
12
8
9
3
7
8
8
8
2
7
3
7
0
10
10
8
8
4
7
12
10
10
5
7
13
8
3
7
0
2
1
10
11
2
8
7
7
8
10
8
8
10
8
7
0
8
10
7
6
10
12
7
8
12
10
10
8
0
9
7
12
10
7
10
7
3
10
8
10
12
8
1
3
5
3
8
10
5
8
10
0
2
8
2
10
1
11
12
11
13
2
12
10
8
7
7
7
12
8
7
8
7
10
12
7
1
3
10
10
10
7
12
2
7
7
7
7
12
3
8
8
3
7
7
7
10
12
11
8
10
7
8
8
8
7
12
12
0
10
10
10
10
10
7
10
8
0
8
13
10
11
10
7
10
6
7
7
10
0
8
7
7
10
10
10
3
0
8
5
5
7
11
3
6
7
6
9
10
1
7
12
2
7
10
10
13
10
7
10
8
10
10
9
4
11
7
8
2
12
0
10
8
7
10
7
7
7
10
0
3
8
7
11
7
3
7
2
10
10
7
7
7
2
7
8
8
10
10
5
7
12
0
0
8
8
4
7
0
12
3
8
10
5
1
12
11
7
10
10
10
10
10
12
8
11
8
11
10
3
7
0
0
7
2
7
0
7
12
11
6
10
7
0
12
11
7
7
12
0
3
3
8
12
8
8
6
11
7
4
12
7
8
11
11
12
7
8
8
7
5
7
8
12
10
11
7
10
8
8
5
12
5
2
10
11
10
0
7
6
8
0
10
7
1
10
3
10
12
9
12
10
1
2
7
7
7
10
11
7
12
7
7
7
7
10
8
7
8
7
11
7
7
0
2
10
9
0
8
9
2
2
7
2
8
7
8
10
11
7
7
8
5
0
10
10
7
10
8
12
7
12
10
12
7
8
3
3
0
8
7
8
11
10
8
7
3
3
10
2
10
2
8
5
0
7
10
10
7
6
8
7
3
9
7
9
10
7
8
8
10
11
7
11
7
7
5
8
7
10
8
10
8
0
1
10
8
10
7
7
12
10
0
8
7
3
7
3
6
10
6
8
7
10
4
8
11
10
10
11
5
2
8
8
7
10
8
10
0
3
7
7
7
12
2
10
0
7
11
