c,window,degree,std_loss,mean_loss
0.001,3.0,2.0,0.02184730258734079,-0.24560053243783594
0.01,3.0,2.0,0.027088831471507896,-0.25102142870782174
0.1,3.0,2.0,0.028014938815581168,-0.25460058399876184
1.0,3.0,2.0,0.028014938815581168,-0.25460058399876184
10.0,3.0,2.0,0.028014938815581168,-0.25460058399876184
100.0,3.0,2.0,0.028014938815581168,-0.25460058399876184
1000.0,3.0,2.0,0.028014938815581168,-0.25460058399876184
0.001,5.0,2.0,0.02189330443384701,-0.24564858360000816
0.01,5.0,2.0,0.026937216373618726,-0.25119033449348516
0.1,5.0,2.0,0.02815955420247056,-0.25463055387705313
1.0,5.0,2.0,0.02815955420247056,-0.25463055387705313
10.0,5.0,2.0,0.02815955420247056,-0.25463055387705313
100.0,5.0,2.0,0.02815955420247056,-0.25463055387705313
1000.0,5.0,2.0,0.02815955420247056,-0.25463055387705313
0.001,5.0,3.0,0.021886994943249742,-0.2456492465941416
0.01,5.0,3.0,0.026939904121185673,-0.2512132263041681
0.1,5.0,3.0,0.028138269043697126,-0.25464539286032994
1.0,5.0,3.0,0.028138269043697126,-0.25464539286032994
10.0,5.0,3.0,0.028138269043697126,-0.25464539286032994
100.0,5.0,3.0,0.028138269043697126,-0.25464539286032994
1000.0,5.0,3.0,0.028138269043697126,-0.25464539286032994
0.001,5.0,4.0,0.021847302587339787,-0.24560053243783272
0.01,5.0,4.0,0.027088831471518266,-0.25102142870783756
0.1,5.0,4.0,0.028014938815517903,-0.2546005839987313
1.0,5.0,4.0,0.028014938815517903,-0.2546005839987313
10.0,5.0,4.0,0.028014938815517903,-0.2546005839987313
100.0,5.0,4.0,0.028014938815517903,-0.2546005839987313
1000.0,5.0,4.0,0.028014938815517903,-0.2546005839987313
0.001,7.0,2.0,0.021981966062139757,-0.2457346635394171
0.01,7.0,2.0,0.026700796611404114,-0.25155921962666383
0.1,7.0,2.0,0.028242576285765715,-0.254751852560662
1.0,7.0,2.0,0.028242576285765715,-0.254751852560662
10.0,7.0,2.0,0.028242576285765715,-0.254751852560662
100.0,7.0,2.0,0.028242576285765715,-0.254751852560662
1000.0,7.0,2.0,0.028242576285765715,-0.254751852560662
0.001,7.0,3.0,0.022004418670413507,-0.24573891091286904
0.01,7.0,3.0,0.026790416508641238,-0.2515331846754458
0.1,7.0,3.0,0.028335953422300265,-0.2547467440049138
1.0,7.0,3.0,0.028335953422300265,-0.2547467440049138
10.0,7.0,3.0,0.028335953422300265,-0.2547467440049138
100.0,7.0,3.0,0.028335953422300265,-0.2547467440049138
1000.0,7.0,3.0,0.028335953422300265,-0.2547467440049138
0.001,7.0,4.0,0.021852075853315542,-0.24562211466988643
0.01,7.0,4.0,0.02699337933588227,-0.2511109165033013
0.1,7.0,4.0,0.02807909879589182,-0.25460123581245786
1.0,7.0,4.0,0.02807909879589182,-0.25460123581245786
10.0,7.0,4.0,0.02807909879589182,-0.25460123581245786
100.0,7.0,4.0,0.02807909879589182,-0.25460123581245786
1000.0,7.0,4.0,0.02807909879589182,-0.25460123581245786
0.001,7.0,5.0,0.02186573973597628,-0.24561973330847642
0.01,7.0,5.0,0.027027175825231533,-0.2510817361264235
0.1,7.0,5.0,0.0280961881283021,-0.25459237513522237
1.0,7.0,5.0,0.0280961881283021,-0.25459237513522237
10.0,7.0,5.0,0.0280961881283021,-0.25459237513522237
100.0,7.0,5.0,0.0280961881283021,-0.25459237513522237
1000.0,7.0,5.0,0.0280961881283021,-0.25459237513522237
0.001,7.0,6.0,0.021847302587337938,-0.24560053243783547
0.01,7.0,6.0,0.027088831471506977,-0.25102142870780614
0.1,7.0,6.0,0.028014938815581463,-0.2546005839987139
1.0,7.0,6.0,0.028014938815581463,-0.2546005839987139
10.0,7.0,6.0,0.028014938815581463,-0.2546005839987139
100.0,7.0,6.0,0.028014938815581463,-0.2546005839987139
1000.0,7.0,6.0,0.028014938815581463,-0.2546005839987139
0.001,9.0,2.0,0.022109134538335615,-0.2459393007946461
0.01,9.0,2.0,0.02649188449218214,-0.25191786433705765
0.1,9.0,2.0,0.028387767588789255,-0.2548241803788537
1.0,9.0,2.0,0.028387767588789255,-0.2548241803788537
