estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.1,2,150,0.02216955001195109,-0.22490928016357928
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.1,4,150,0.03455059015369964,-0.22541210623893831
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,5,200,0.030732291132589296,-0.226421864434128
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,2,150,0.03859177547663813,-0.22793710412011126
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,3,150,0.04079744250659943,-0.22799521874266238
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,2,150,0.020789923422373322,-0.22846971665735227
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.7000000000000001,4,200,0.03813957293383761,-0.2286749429327098
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,5,200,0.034100604742554615,-0.2288165009798814
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,2,100,0.029688558057089313,-0.22901644734529344
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.1,2,100,0.017326977467722212,-0.22908957010528297
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.1,4,200,0.010367009021129548,-0.22935873714107124
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.4,3,200,0.029395309625693207,-0.2295117084455995
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.1,0.1,3,200,0.029061372185058432,-0.23084397174972957
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.1,3,200,0.025183894230591346,-0.2316679971552617
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,2,200,0.018530830246216875,-0.23229599568109352
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,3,150,0.03494433814689812,-0.23334922573055836
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,2,100,0.03688499494533973,-0.23361839697955608
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,4,150,0.04882265866239326,-0.23386804618238663
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,5,200,0.02316623301191081,-0.2344773529532674
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.4,2,100,0.033414384186271115,-0.23468318359659066
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.1,0.1,1,150,0.05032818049420283,-0.23477411354729802
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,4,150,0.029611123834602456,-0.23493034143305147
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,3,150,0.021254238078687843,-0.23499715331205162
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.1,1,100,0.022403287790856947,-0.23540477519868538
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,4,150,0.048510262376361836,-0.23555303841110145
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,1,150,0.05127672208027487,-0.23614755916275837
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,5,150,0.030609159675520678,-0.2380068645819851
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,1,200,0.03146685006803722,-0.23837905544521937
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.1,0.4,2,200,0.05011838631251474,-0.23873941775673418
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.1,0.1,2,100,0.04529065661295312,-0.238922028734658
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,1,50,0.026835219033463104,-0.23942239671706003
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.1,0.1,2,150,0.022431858905897748,-0.23997827115162196
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.7000000000000001,1,150,0.027371363316711673,-0.24048407008102585
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,1,100,0.038704559926659624,-0.24102786356476608
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,3,100,0.005527512092186084,-0.24126358746466137
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,5,100,0.01681028913282829,-0.24145162525965197
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.1,2,200,0.03133481918175808,-0.24245013458159556
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.1,5,150,0.01750452374322827,-0.24337824725729965
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.001,0.7000000000000001,2,200,0.020628237579320495,-0.24428839728692536
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.7000000000000001,2,100,0.038997077520705706,-0.24466080142991498
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,3,100,0.03684387002639954,-0.24484689028505338
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.4,3,100,0.02394968424617251,-0.24502481871249057
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.001,0.7000000000000001,1,150,0.03386002215991373,-0.24604889418577292
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.7000000000000001,3,200,0.012876127047416489,-0.24639266483559352
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.1,0.4,2,150,0.026407010630070445,-0.24653931521298986
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.7000000000000001,3,100,0.03978221056608701,-0.24654027277693946
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.1,3,100,0.03826068993048969,-0.24738517475160196
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.001,0.7000000000000001,2,150,0.02403819624888791,-0.2476056701715463
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.1,3,150,0.01916052843961151,-0.2482133286023048
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.1,5,200,0.008063747680949114,-0.24872779460243322
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,5,150,0.02343412209051649,-0.24907591154228553
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.1,0.4,1,150,0.04311034991872601,-0.2505758475414949
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,2,100,0.029972621642966518,-0.2506926828361377
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,1,200,0.014483643516545424,-0.25071763956243986
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,4,100,0.04321347823414944,-0.2520867617261341
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.1,3,150,0.030755820339035376,-0.25253759286043975
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,1,100,0.027098687038568506,-0.2525545681531742
