estimator,filter__degree,filter__window,std,neg_log_loss
"SVC(C=10, probability=True, random_state=0)",8,29,0.04485428343140909,-0.34651892680782986
"SVC(C=10, probability=True, random_state=0)",7,23,0.0448707079582677,-0.34659975126250464
"SVC(C=10, probability=True, random_state=0)",6,23,0.04487684515438418,-0.3466115239135733
"SVC(C=10, probability=True, random_state=0)",4,17,0.04491411616270876,-0.3468017495936169
"SVC(C=10, probability=True, random_state=0)",5,17,0.04490660212377227,-0.3468254151644755
"SVC(C=10, probability=True, random_state=0)",7,25,0.04497613750960989,-0.34698526638257626
"SVC(C=10, probability=True, random_state=0)",6,25,0.04497655184410886,-0.3470116905766178
"SVC(C=10, probability=True, random_state=0)",3,11,0.045012239821178295,-0.34732018462628905
"SVC(C=10, probability=True, random_state=0)",2,11,0.04499417441334116,-0.347324547085742
"SVC(C=10, probability=True, random_state=0)",4,19,0.04506165034243665,-0.34739223872931957
"SVC(C=10, probability=True, random_state=0)",7,27,0.04509422345784919,-0.34740405262776414
"SVC(C=10, probability=True, random_state=0)",5,19,0.04504505684356587,-0.34740758688417
"SVC(C=10, probability=True, random_state=0)",6,27,0.0450713550595052,-0.3474653735120862
"SVC(C=10, probability=True, random_state=0)",7,29,0.04516306436364516,-0.3478980909644499
"SVC(C=10, probability=True, random_state=0)",6,29,0.04517045975393221,-0.3479734481615179
"SVC(C=10, probability=True, random_state=0)",4,21,0.04517613769157834,-0.34806033167920714
"SVC(C=10, probability=True, random_state=0)",5,21,0.04516986620196834,-0.3480731136837553
"SVC(C=10, probability=True, random_state=0)",2,13,0.04519035762108131,-0.3483962982666509
"SVC(C=10, probability=True, random_state=0)",3,13,0.045222928786381456,-0.34840404493827987
"SVC(C=10, probability=True, random_state=0)",5,23,0.045296726801649666,-0.34889346045232195
"SVC(C=10, probability=True, random_state=0)",4,23,0.04528607501744055,-0.3489316146548146
"SVC(C=10, probability=True, random_state=0)",5,25,0.04543403003569621,-0.3497111525741252
"SVC(C=10, probability=True, random_state=0)",2,15,0.04540287584865863,-0.34974939120575066
"SVC(C=10, probability=True, random_state=0)",3,15,0.045405268516212675,-0.34976129341292805
"SVC(C=10, probability=True, random_state=0)",4,25,0.04543472374651948,-0.3498169061514561
"SVC(C=10, probability=True, random_state=0)",5,27,0.0455804180615698,-0.3505183054735329
"SVC(C=10, probability=True, random_state=0)",4,27,0.045568960501252906,-0.3506667668051613
"SVC(C=10, probability=True, random_state=0)",2,17,0.04558004669676732,-0.35107000587068365
"SVC(C=10, probability=True, random_state=0)",3,17,0.04555485787867713,-0.35109776564376827
"SVC(C=10, probability=True, random_state=0)",5,29,0.045641804018198215,-0.351349776084641
"SVC(C=10, probability=True, random_state=0)",4,29,0.045658894943517624,-0.3514687486432546
"SVC(C=10, probability=True, random_state=0)",3,19,0.045772615766927593,-0.3525297728399793
"SVC(C=10, probability=True, random_state=0)",2,19,0.04578403914796804,-0.35253087612898676
"SVC(C=10, probability=True, random_state=0)",3,21,0.04587491284446603,-0.3539868129181228
"SVC(C=10, probability=True, random_state=0)",2,21,0.04587217648335307,-0.35408854424134495
"SVC(C=10, probability=True, random_state=0)",3,23,0.046016318943075875,-0.3555140866316776
"SVC(C=10, probability=True, random_state=0)",2,23,0.04600978196110997,-0.35571049510065333
"SVC(C=10, probability=True, random_state=0)",3,25,0.04601214983504228,-0.35700211179103114
"SVC(C=10, probability=True, random_state=0)",2,25,0.04602902738976886,-0.3572343978604533
"SVC(C=10, probability=True, random_state=0)",3,27,0.04604771890631289,-0.3587405831310859
"SVC(C=10, probability=True, random_state=0)",2,27,0.04606664312558187,-0.3589694707549577
"SVC(C=10, probability=True, random_state=0)",3,29,0.04628985109113432,-0.36045027760331455
"SVC(C=10, probability=True, random_state=0)",2,29,0.04633318137233595,-0.3606217615742659
