estimator,estimator__act,estimator__learning_rate,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00038714164899221687,4,182,0.02382199891367953,-0.2666238023788795
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.009968008162110905,1,193,0.03543243538617639,-0.2666836338054959
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.008560791916775222,1,81,0.03378325569988975,-0.26671204069989707
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.004340257200444633,1,62,0.04316855724802133,-0.26694253467547224
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0074139140006101315,1,156,0.02899601438340328,-0.26734719478175617
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.011504834986625592,2,50,0.03776303439144603,-0.26919369932937454
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.002290179597655836,4,152,0.037631175233639846,-0.26943400629865044
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.026138307346847175,3,143,0.025364326209568452,-0.2697912618536362
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00043375394866287964,5,186,0.04156094172698722,-0.27040713459911586
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.004894828959514037,4,181,0.04395894970788815,-0.2717902770725637
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.006674834721146208,1,94,0.042298671971452956,-0.27206166996975045
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0032622908842903937,4,123,0.04827100100045253,-0.27268965866645384
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0005089275719266929,1,190,0.021115348143046535,-0.27325080727450685
